10,2017-11-28 15:22:39,4,Laptop,HP,Envy,773,13,IPS,Windows 7,Intel i3-2200K,RX 470,16GB,1024GB,true,true,true,true,false,true,School,7,The HP Envy is a replacement for your desktop with which you perform heavy graphic tasks with. With the RX 470 video card you can play games like Overwatch on high settings and quickly watch a YouTube video while your game is minimized. Thanks to the 16GB RAM you can run several heavy programs at the same time without slowing down your laptop. The Intel i3-2200K processor ensures that your video images with programs such as Adobe Premiere Pro mount smoothly. You start-up this laptop in about 15 seconds with the 1024GB SSD drive.
4,2017-12-11 15:21:53,2,Laptop,HP,ProBook,864,15,TN,Windows 10,AMD A3-300,R9 380X,8GB,512GB,false,false,false,false,false,true,Work,0,The HP ProBook is a replacement for your desktop with which you perform heavy graphic tasks with. With the R9 380X video card you can play games like Overwatch on high settings and quickly watch a YouTube video while your game is minimized. Thanks to the 8GB RAM you can run several heavy programs at the same time without slowing down your laptop. The AMD A3-300 processor ensures that your video images with programs such as Adobe Premiere Pro mount smoothly. You start-up this laptop in about 15 seconds with the 512GB SSD drive.
8,2017-08-30 10:15:56,3,Laptop,HP,Omen,824,17,IPS,Windows 8,AMD A8-1600X,R9 380X,8GB,256GB,true,true,false,true,false,true,Gaming,2,The HP Omen is a replacement for your desktop with which you perform heavy graphic tasks with. With the R9 380X video card you can play games like Overwatch on high settings and quickly watch a YouTube video while your game is minimized. Thanks to the 8GB RAM you can run several heavy programs at the same time without slowing down your laptop. The AMD A8-1600X processor ensures that your video images with programs such as Adobe Premiere Pro mount smoothly. You start-up this laptop in about 15 seconds with the 256GB SSD drive.
6,2017-04-20 20:14:22,2,Laptop,HP,ProBook,686,15,TN,Windows 8,Intel i7-8700K,RX 470,8GB,256GB,false,false,false,true,false,false,School,0,The HP ProBook is a replacement for your desktop with which you perform heavy graphic tasks with. With the RX 470 video card you can play games like Overwatch on high settings and quickly watch a YouTube video while your game is minimized. Thanks to the 8GB RAM you can run several heavy programs at the same time without slowing down your laptop. The Intel i7-8700K processor ensures that your video images with programs such as Adobe Premiere Pro mount smoothly. You start-up this laptop in about 15 seconds with the 256GB SSD drive.
1,2017-07-30 05:09:30,1,Laptop,HP,Pavillion,869,15,TN,Windows 10,AMD A3-300,R9 270X,16GB,512GB,false,true,true,false,false,false,Gaming,0,The HP Pavillion is a replacement for your desktop with which you perform heavy graphic tasks with. With the R9 270X video card you can play games like Overwatch on high settings and quickly watch a YouTube video while your game is minimized. Thanks to the 16GB RAM you can run several heavy programs at the same time without slowing down your laptop. The AMD A3-300 processor ensures that your video images with programs such as Adobe Premiere Pro mount smoothly. You start-up this laptop in about 15 seconds with the 512GB SSD drive.
9,2017-02-20 23:41:02,4,Laptop,HP,Envy,593,13,IPS,Windows 8,Intel i5-8600K,GTX 660 TI,16GB,1024GB,true,true,true,true,true,true,Work,3,The HP Envy is a replacement for your desktop with which you perform heavy graphic tasks with. With the GTX 660 TI video card you can play games like Overwatch on high settings and quickly watch a YouTube video while your game is minimized. Thanks to the 16GB RAM you can run several heavy programs at the same time without slowing down your laptop. The Intel i5-8600K processor ensures that your video images with programs such as Adobe Premiere Pro mount smoothly. You start-up this laptop in about 15 seconds with the 1024GB SSD drive.
3,2017-03-10 11:28:56,1,Laptop,HP,Pavillion,870,15,TN,Windows 7,Intel i3-2200K,GTX 590,16GB,256GB,true,true,true,true,false,true,School,1,The HP Pavillion is a replacement for your desktop with which you perform heavy graphic tasks with. With the GTX 590 video card you can play games like Overwatch on high settings and quickly watch a YouTube video while your game is minimized. Thanks to the 16GB RAM you can run several heavy programs at the same time without slowing down your laptop. The Intel i3-2200K processor ensures that your video images with programs such as Adobe Premiere Pro mount smoothly. You start-up this laptop in about 15 seconds with the 256GB SSD drive.
7,2017-09-13 18:31:54,3,Laptop,HP,Omen,822,17,IPS,Windows 7,Intel i3-2200K,R9 270X,8GB,1024GB,false,false,false,false,false,false,Work,1,The HP Omen is a replacement for your desktop with which you perform heavy graphic tasks with. With the R9 270X video card you can play games like Overwatch on high settings and quickly watch a YouTube video while your game is minimized. Thanks to the 8GB RAM you can run several heavy programs at the same time without slowing down your laptop. The Intel i3-2200K processor ensures that your video images with programs such as Adobe Premiere Pro mount smoothly. You start-up this laptop in about 15 seconds with the 1024GB SSD drive.
5,2017-08-24 19:17:43,2,Laptop,HP,ProBook,542,15,TN,Windows 7,Intel i7-8700K,R9 380X,16GB,2048GB,false,true,false,true,false,true,Gaming,0,The HP ProBook is a replacement for your desktop with which you perform heavy graphic tasks with. With the R9 380X video card you can play games like Overwatch on high settings and quickly watch a YouTube video while your game is minimized. Thanks to the 16GB RAM you can run several heavy programs at the same time without slowing down your laptop. The Intel i7-8700K processor ensures that your video images with programs such as Adobe Premiere Pro mount smoothly. You start-up this laptop in about 15 seconds with the 2048GB SSD drive.
2,2017-04-08 10:06:17,1,Laptop,HP,Pavillion,607,15,TN,Windows 10,Intel i7-8700K,GTX 590,16GB,2048GB,false,true,true,false,false,true,Work,4,The HP Pavillion is a replacement for your desktop with which you perform heavy graphic tasks with. With the GTX 590 video card you can play games like Overwatch on high settings and quickly watch a YouTube video while your game is minimized. Thanks to the 16GB RAM you can run several heavy programs at the same time without slowing down your laptop. The Intel i7-8700K processor ensures that your video images with programs such as Adobe Premiere Pro mount smoothly. You start-up this laptop in about 15 seconds with the 2048GB SSD drive.
